"","station","YMD","Y","M","D","tavg","tmax","tmin","AvgWS","AvgWD","MaxAvgWS","MaxAvgWD","MaxGutWS","MaxGutWD","prec"
"1",467490,20130101,2013,1,1,14.5,17.2,10.6,0.3,320,1.5,330,3.8,330,0
"2",467490,20130102,2013,1,2,17.6,21.3,14.5,1.3,360,3.5,360,7.9,10,0.4
"3",467490,20130103,2013,1,3,16.1,19.3,14.1,2.6,360,4.3,10,9.7,330,3.6
"4",467490,20130104,2013,1,4,16.6,21.6,13.8,1.6,360,3.8,360,7.1,10,0
"5",467490,20130105,2013,1,5,17.6,22.1,15.3,2.2,350,4.4,360,9.7,360,0
"6",467490,20130106,2013,1,6,18.1,23.2,14.3,1.8,350,4.1,340,9.2,310,0
"7",467490,20130107,2013,1,7,19.2,23.2,17.3,1.8,330,3.1,10,7.5,310,0
"8",467490,20130108,2013,1,8,17.8,19.9,16.4,2,360,3.5,350,6.8,40,0.1
"9",467490,20130109,2013,1,9,15.5,18.7,14.7,3,10,5.1,360,11.1,10,0.6
"10",467490,20130110,2013,1,10,16,20.9,13.9,2.5,10,3.9,10,7.6,360,0
"11",467490,20130111,2013,1,11,16.6,21.7,11.6,1.3,350,3.3,360,6.8,350,0.2
"12",467490,20130112,2013,1,12,18.9,22.3,16.9,2.5,10,4,10,8.7,350,1.1
"13",467490,20130113,2013,1,13,16.8,18.9,14.8,2.5,10,5.7,10,12.4,10,5.1
"14",467490,20130114,2013,1,14,15.1,20.4,11.4,2.8,10,5.3,10,12.5,360,0
"15",467490,20130115,2013,1,15,15.6,22.7,10.4,0.8,340,2.9,340,7.2,350,0
"16",467490,20130116,2013,1,16,16.3,22.2,10.8,1.2,340,3.4,330,7.5,330,0
"17",467490,20130117,2013,1,17,14.9,19.2,11.9,2.9,10,6.1,10,14.7,10,0
"18",467490,20130118,2013,1,18,13.9,19.3,10.9,1.9,10,4.1,10,9.2,20,0
"19",467490,20130119,2013,1,19,16,22.4,10.5,0.9,340,3.1,340,5.5,340,0
"20",467490,20130120,2013,1,20,17.2,22.8,12.3,1,340,3.2,310,5.9,300,0
"21",467490,20130121,2013,1,21,19.2,26.5,13.3,0.7,80,2.7,340,4.9,240,0
"22",467490,20130122,2013,1,22,19.7,26.5,16.4,1.3,350,3.5,340,7.9,310,0
"23",467490,20130123,2013,1,23,18.6,22.3,16.3,1.7,310,3.5,360,7.9,20,0
"24",467490,20130124,2013,1,24,18.3,23.1,15.2,1.4,340,3.5,330,7,340,0
"25",467490,20130125,2013,1,25,17,20.4,14.5,2.2,360,4.2,10,8.6,20,0
"26",467490,20130126,2013,1,26,15.9,19.2,13.6,1.5,360,3.3,360,6.6,330,0
"27",467490,20130127,2013,1,27,16.5,21.1,13.8,2.3,360,4.6,360,9.4,360,0.1
"28",467490,20130128,2013,1,28,16.9,23.3,11.5,0.8,180,2.5,260,5.5,260,0
"29",467490,20130129,2013,1,29,17.3,23.5,13.7,0.9,330,3.7,340,6.5,340,0
"30",467490,20130130,2013,1,30,17.4,24.2,11.8,1.1,120,3.1,330,7,310,0
"31",467490,20130131,2013,1,31,18.2,25.7,11.7,1,350,3,360,5.8,10,0
"32",467490,20130201,2013,2,1,20.5,26.5,13.9,0.9,340,2.9,350,5.8,340,0
"33",467490,20130202,2013,2,2,20.6,25.8,17.8,1.1,330,2.9,340,6.6,10,0
"34",467490,20130203,2013,2,3,18.6,25.6,17.1,1,320,3.7,350,7.7,320,1.1
"35",467490,20130204,2013,2,4,22.6,28.3,17,0.7,320,2.6,350,5.3,350,0
"36",467490,20130205,2013,2,5,22.4,27.1,18.7,1.5,20,4,10,8.3,20,0
"37",467490,20130206,2013,2,6,21.6,27.2,18.3,1,340,3.3,340,6.8,350,0
