station,YMD,Y,M,D,tavg,tmax,tmin,AvgWS,AvgWD,MaxAvgWS,MaxAvgWD,MaxGutWS,MaxGutWD,prec
466880,20130101,2013,1,1,13.7,14.3,13,2.2,80,3.4,80,7.2,50,11
466880,20130102,2013,1,2,17,20.4,14.2,0.9,30,2.5,90,4.7,30,4.5
466880,20130103,2013,1,3,14.3,16.1,13,3.3,90,5.7,90,11.2,80,16
466880,20130104,2013,1,4,15.6,17.8,13.2,3.4,60,5.5,70,10.9,40,5.5
466880,20130105,2013,1,5,16.9,19.7,15.6,2,80,4.5,80,8.7,110,3.5
466880,20130106,2013,1,6,18.7,21.7,17.1,2.9,90,5.1,60,8.5,50,NA
466880,20130107,2013,1,7,18.8,21.5,17.3,2.1,100,5,100,8.7,90,NA
466880,20130108,2013,1,8,16.5,18.2,15.2,1.7,90,3.9,100,6.5,70,14
466880,20130109,2013,1,9,14.4,15.2,13.7,2.1,90,3.9,90,7.7,90,16.5
466880,20130110,2013,1,10,14.3,15,13.6,3.4,80,6.2,80,11.9,70,2
466880,20130111,2013,1,11,18.1,22.6,13.8,3.3,80,6.7,90,12.2,80,NA
466880,20130112,2013,1,12,17.8,18.8,16.8,1,210,3.5,110,6.5,100,17
466880,20130113,2013,1,13,16.1,17.9,14.2,2.4,250,4.8,240,8,340,9.5
466880,20130114,2013,1,14,14.7,17.3,13,2.9,90,5.2,70,11,70,0
466880,20130115,2013,1,15,16.9,23.5,12.4,1.8,70,4.8,80,9.2,40,0
466880,20130116,2013,1,16,16.4,23,11.1,1.9,80,4.5,80,8.8,70,2
466880,20130117,2013,1,17,13.6,16,11.8,2.6,80,4.8,80,9.5,70,1
466880,20130118,2013,1,18,12.9,14.5,11.5,3.1,80,4.9,90,9,40,0
466880,20130119,2013,1,19,17.3,22.3,12.6,3.2,90,6.2,90,11.8,130,0
466880,20130120,2013,1,20,17.4,24.7,10.9,1.4,10,3,60,5.8,80,0
466880,20130121,2013,1,21,19.7,26.7,13.7,0.9,200,2.2,30,4,360,0
466880,20130122,2013,1,22,19,23.6,17,2.3,90,5,90,9.4,70,0
466880,20130123,2013,1,23,17.6,18.7,17,2.9,80,5,70,9.3,50,0
466880,20130124,2013,1,24,18.7,23.8,15.8,2.2,70,4.8,70,10.8,60,0
466880,20130125,2013,1,25,15.8,17.9,15,3.6,90,5.7,80,10.7,70,0
466880,20130126,2013,1,26,16.9,20.2,14.5,2.9,80,5.8,80,10.2,40,0.7
466880,20130127,2013,1,27,14.5,16.3,13.2,2.9,90,4.9,80,10.8,90,4.5
466880,20130128,2013,1,28,15.9,18.4,13.8,3.9,80,6.1,80,12.4,50,0
466880,20130129,2013,1,29,16.2,22.1,12.1,1.4,70,3.4,80,6.8,80,NA
466880,20130130,2013,1,30,17.5,22.2,13,2.5,60,4.8,50,9.1,90,0
466880,20130131,2013,1,31,18.2,26.6,10.9,1.3,200,3,280,6.5,120,0
466880,20130201,2013,2,1,19.7,25,13.4,0.9,70,2.4,50,4.3,60,0
466880,20130202,2013,2,2,21.1,25,16.5,3,60,5.9,80,11.3,60,0
466880,20130203,2013,2,3,19.7,24.8,16.4,1.6,290,4.5,290,7.7,60,0
466880,20130204,2013,2,4,22.4,28.4,16.5,0.9,70,3.3,80,7.5,60,0
466880,20130205,2013,2,5,19.9,23.4,15,1.3,210,4.2,310,7.8,290,0.4
466880,20130206,2013,2,6,19.5,22.3,17.6,3.2,60,6.5,60,13.3,40,0
466880,20130207,2013,2,7,19.8,23,16.9,2.3,90,4.9,70,10,70,0
466880,20130208,2013,2,8,14.4,16.9,13.3,4.2,80,6.1,80,11.6,50,0.5
466880,20130209,2013,2,9,14.9,17.9,13.2,3.4,90,5.2,60,10.5,60,0
466880,20130210,2013,2,10,16.7,19.8,14.8,2.1,80,4.8,100,9.6,110,NA
466880,20130211,2013,2,11,18.5,21.2,16.3,2.9,100,5.7,80,10.9,130,NA
466880,20130212,2013,2,12,16.5,19.3,14.4,1.9,90,4.3,90,8.3,80,NA
466880,20130213,2013,2,13,16.9,19.6,14.4,3.7,100,6.5,70,13.4,80,NA
466880,20130214,2013,2,14,18.5,22.5,16.2,1.3,210,2.7,240,5.3,200,0
466880,20130215,2013,2,15,16.3,17.6,15,1.8,90,4.7,80,9,70,1
466880,20130216,2013,2,16,17.7,20.4,14.8,4.3,80,7.5,80,14.5,70,0
466880,20130217,2013,2,17,21,27.6,17.3,1.1,190,4.3,80,8.3,60,0
466880,20130218,2013,2,18,22.1,28.3,16.1,1.1,30,3.1,20,5.9,20,0
466880,20130219,2013,2,19,17.2,21.9,14,2.2,350,4.5,80,9.4,100,0.4
466880,20130220,2013,2,20,15.3,16.8,13.5,4.2,80,5.7,80,11.1,50,0
466880,20130221,2013,2,21,18.4,20.8,16.7,2.6,70,4.8,90,10.3,70,0.7
466880,20130222,2013,2,22,16,17.8,14.4,1.5,90,2.8,90,6.1,310,4
466880,20130223,2013,2,23,16.5,18.2,15.4,4,80,5.6,80,12,80,0
466880,20130224,2013,2,24,20.4,24.8,17.6,3.7,90,7.8,100,14.3,60,0
466880,20130225,2013,2,25,20.1,26.1,15.6,1.2,200,3.1,340,5.9,230,0
466880,20130226,2013,2,26,21.6,27.8,16.1,1.7,240,4.6,240,8,240,0
466880,20130227,2013,2,27,19,20.6,17.7,1.5,80,3.6,80,7,60,23
466880,20130228,2013,2,28,21,28.2,18.1,2.2,60,4.5,50,8.7,70,0
466880,20130301,2013,3,1,20.8,28.5,15.9,2,240,5.7,350,13.7,340,1.5
466880,20130302,2013,3,2,13.6,16,12.9,3.8,90,5.2,90,10.8,100,0.5
466880,20130303,2013,3,3,12.9,13.5,12.3,3.1,90,4.5,80,9.5,70,NA
466880,20130304,2013,3,4,15.6,20,10.9,3.8,80,6,60,11.9,50,0
466880,20130305,2013,3,5,18.9,23.4,14.8,4,90,6.2,90,13.1,80,0
466880,20130306,2013,3,6,19.4,25.7,13.6,1.6,190,3.8,70,6.8,70,0
466880,20130307,2013,3,7,19,26.4,13.6,1.4,200,3.9,310,7.6,300,0
466880,20130308,2013,3,8,19.8,28.9,12.5,1.2,200,3,280,5.8,280,0
466880,20130309,2013,3,9,21,28.5,14,1.1,190,2.9,330,6.2,350,0
466880,20130310,2013,3,10,21.5,28.6,18.3,2.2,70,5.7,60,12.9,70,0
466880,20130311,2013,3,11,18.4,20.3,17.3,3.8,60,5.4,60,10.9,60,0
466880,20130312,2013,3,12,20.6,26.8,14.9,1.6,200,3.7,300,9.9,250,0
466880,20130313,2013,3,13,21.4,29.5,15.1,2.1,80,6.3,90,11.8,90,1
466880,20130314,2013,3,14,15.3,16.3,14.3,4.4,80,6.1,60,12.1,80,NA
466880,20130315,2013,3,15,17.4,18.5,16.2,3,80,5,50,10,70,0.3
466880,20130316,2013,3,16,19.9,25.9,14.9,1.2,210,3.8,300,7.1,270,0
466880,20130317,2013,3,17,21.6,28.9,16.4,1.1,200,3,340,5.8,350,0
466880,20130318,2013,3,18,23.9,29.1,19.3,2.2,260,7.1,270,16.3,270,0.3
466880,20130319,2013,3,19,24.2,28.7,21.7,1,290,2.6,290,5,290,1
466880,20130320,2013,3,20,23.7,28.4,18.2,2.4,90,6.3,100,12.4,130,NA
466880,20130321,2013,3,21,20,23.6,17.5,3.6,50,6.3,50,14,60,0
466880,20130322,2013,3,22,23.5,29.1,18.1,1.3,250,4.6,250,9.4,270,0
