"station","YMD","Y","M","D","tavg","tmax","tmin","AvgWS","AvgWD","MaxAvgWS","MaxAvgWD","MaxGutWS","MaxGutWD","prec"
467590,20130101,2013,1,1,20.3,23,17.5,3.5,10,7.1,20,13.5,10,0
467590,20130102,2013,1,2,22.7,25.1,20.5,3.3,30,6,20,12.3,80,0
467590,20130103,2013,1,3,22,24.3,19.7,8.3,30,13.8,30,29.5,20,0
467590,20130104,2013,1,4,21.6,23.3,19.8,6.5,30,11.2,40,24.3,30,0
467590,20130105,2013,1,5,23.1,26.8,20.5,3.6,30,8.5,40,16.8,50,0
467590,20130106,2013,1,6,23.8,26.7,20.5,3.6,30,5.8,40,12.1,20,0
467590,20130107,2013,1,7,24.4,27.3,22.9,2.5,20,5.8,20,10.7,30,0
467590,20130108,2013,1,8,22.9,24.4,21.9,2.5,20,7.8,40,17,60,0
467590,20130109,2013,1,9,22,23.6,20.8,4.9,30,9.6,40,20.1,100,0
467590,20130110,2013,1,10,21.3,23.2,20.5,6.8,30,11,40,24.5,360,0
467590,20130111,2013,1,11,21.5,23.6,20.6,5.6,30,10,40,22,20,0
467590,20130112,2013,1,12,22.3,23.9,21.2,2.9,10,6.2,10,12.5,20,1.5
467590,20130113,2013,1,13,21.3,27.7,18.8,3.8,340,7.2,340,15.4,340,24
467590,20130114,2013,1,14,19.5,22.5,17,3.7,50,7.4,40,17.1,40,0.5
467590,20130115,2013,1,15,20.3,22.6,18.4,5.2,30,7.3,30,14.8,50,0
467590,20130116,2013,1,16,19.8,24.2,15.2,1.8,40,3.9,20,7.7,20,0
467590,20130117,2013,1,17,19.7,23.8,15.5,4.5,30,10.8,30,21.6,40,0
467590,20130118,2013,1,18,18.2,20.3,17.2,7.9,30,10.7,30,23.5,30,0
467590,20130119,2013,1,19,20.3,23.2,17.6,5.8,30,8.9,30,16.7,20,0
467590,20130120,2013,1,20,21.3,24.7,19.1,4.1,60,7.9,20,15.6,30,2.6
467590,20130121,2013,1,21,22.8,26.1,19.4,3.4,80,7.1,60,13.3,60,2.5
467590,20130122,2013,1,22,23.2,26.6,20.3,1.6,60,5.3,60,10.9,70,1
467590,20130123,2013,1,23,22.4,25.3,19.9,3.4,40,6.9,30,14.3,30,0
467590,20130124,2013,1,24,21.8,23.6,19.6,2.3,340,5.8,10,11.7,50,0.5
467590,20130125,2013,1,25,21.1,22.4,19.9,5.7,30,10.1,30,20.6,40,0
467590,20130126,2013,1,26,21,24.3,16.5,1.9,330,5.9,20,11.5,30,0
