station,stationName,Z,wgsX,wgsY,TM2X,TM2Y
466880,板橋,9.7,121.442,24.9976,294616.64,2765584.48
466900,淡水,19,121.4489,25.1649,295251.61,2784117.79
466910,鞍部,825.8,121.5297,25.1826,303389.12,2786107.95
466920,臺北,6.3,121.5149,25.0377,301958.59,2770052.12
466930,竹子湖,607.1,121.5445,25.1621,304890.04,2783843.16
466940,基隆,26.7,121.7405,25.1333,324666.57,2780747.2
466950,彭佳嶼,101.7,122.0797,25.628,358428.48,2835780.87
466990,花蓮,16,121.6133,23.9751,312410.94,2652401.28
467060,蘇澳,24.9,121.8574,24.5967,336828.46,2721378.98
467080,宜蘭,7.2,121.7565,24.764,326507.78,2739849.79
467110,金門,47.9,118.2893,24.4073,-24984.021,2702820.95
467300,東吉島,43,119.6675,23.257,113653.85,2573368.08
467350,澎湖,10.7,119.5631,23.5655,103310.33,2607640.36
467410,臺南,40.8,120.2048,22.9932,168476.33,2543751.16
467420,永康,8.1,120.2367,23.0384,171772.92,2548739.23
467440,高雄,2.3,120.3157,22.566,179627.41,2496387.63
467480,嘉義,26.9,120.4329,23.4959,192079.18,2599311.62
467490,臺中,84,120.6841,24.1457,217896.02,2671195.36
467530,阿里山,2413.4,120.8132,23.5082,230923.13,2600571.84
467540,大武,8.1,120.9038,22.3557,240092.14,2472943.96
467550,玉山,3844.8,120.9595,23.4876,245863.32,2598278.77
467570,新竹,32.8,120.9776,24.8004,251435.35,2746715.77
467590,恆春,22.1,120.7463,22.0039,223805.68,2434010.65
467610,成功,33.5,121.3734,23.0975,288250.74,2555128.57
467620,蘭嶼,324,121.5583,22.037,307631.2,2437759.09
467650,日月潭,1017.5,120.9081,23.8813,240641.4,2641880.6
467660,臺東,9,121.1546,22.7522,265877.2,2516852.23
467770,梧棲,31.7,120.5234,24.256,201605.99,2683457.57
467780,七股,2.9,120.0862,23.147,156423,2560854
467990,馬祖,97.8,119.9234,26.1693,142375.11,2895747.64
467050,新屋,20.6,121.047486,25.006744,,
