"station","YMD","Y","M","D","tavg","tmax","tmin","AvgWS","AvgWD","MaxAvgWS","MaxAvgWD","MaxGutWS","MaxGutWD","prec"
467480,20130101,2013,1,1,14.1,19.5,9.2,1.8,10,4.1,10,7.3,10,0
467480,20130102,2013,1,2,17.6,22.5,12.5,2.8,10,5.5,10,9.5,360,NA
467480,20130103,2013,1,3,16.1,18,14,3.2,10,5.7,360,9.5,10,2.5
467480,20130104,2013,1,4,16.3,20.9,13.5,2.9,360,4.6,350,8.4,360,0
467480,20130105,2013,1,5,17.4,22.9,14.5,3.2,10,5.8,360,9.9,360,0
467480,20130106,2013,1,6,18.2,24.5,14.7,3.1,360,5.1,360,9.1,360,0
467480,20130107,2013,1,7,19.4,24.9,17.2,3,360,4.6,10,7.3,360,0
467480,20130108,2013,1,8,17.9,19.5,16.3,3,360,4.5,10,7,10,NA
467480,20130109,2013,1,9,15.4,17.8,13.9,3.9,360,5.8,360,10,360,0.5
467480,20130110,2013,1,10,15.9,20.3,13.2,2.8,10,4.9,20,8.4,20,0.5
467480,20130111,2013,1,11,15.9,20.8,10.8,2.1,10,5.1,360,8.4,350,NA
467480,20130112,2013,1,12,18.7,23.4,16.3,3.1,10,5.5,10,9.7,350,NA
467480,20130113,2013,1,13,17,20.9,13.7,4.4,360,8.9,360,14.9,350,11.6
467480,20130114,2013,1,14,14.9,20.7,10.2,3.2,10,6.9,10,12.1,360,0
467480,20130115,2013,1,15,15.5,22.9,9,1.3,280,3.8,250,6.9,270,0
467480,20130116,2013,1,16,16.2,22.5,10.8,1.8,350,4.2,360,8.3,320,0
467480,20130117,2013,1,17,14.5,20.5,10.8,3.5,10,8.4,360,15.7,10,0
467480,20130118,2013,1,18,13.5,19.7,9.8,2.1,10,3.6,350,7.5,330,0
467480,20130119,2013,1,19,15.2,22.3,8.7,1.3,320,3.4,320,6.7,330,0
467480,20130120,2013,1,20,17.4,23.6,13.9,1.8,10,4.6,10,7.9,360,0
467480,20130121,2013,1,21,18.6,26.3,12,1,280,2.8,360,4.5,280,0
467480,20130122,2013,1,22,19,26.3,15,2,350,5,320,9.2,320,0
467480,20130123,2013,1,23,18.2,23.4,16,2.6,360,3.8,360,8.4,320,0
467480,20130124,2013,1,24,17.9,23.6,15.2,1.8,360,3.7,360,7,330,NA
467480,20130125,2013,1,25,16.6,20.1,13.9,2.8,360,5,360,8,360,0
467480,20130126,2013,1,26,15.5,19.5,13.2,2.2,10,4.5,360,7.6,360,0
467480,20130127,2013,1,27,16.5,21.5,13.9,2.6,360,5.5,360,9.1,360,NA
467480,20130128,2013,1,28,16,22.3,11.1,1.2,10,3,340,5.8,320,0
467480,20130129,2013,1,29,17.1,24.1,11.9,1.6,350,4.4,360,7,340,0
467480,20130130,2013,1,30,17.2,25.1,11,1.5,340,4.7,360,7.7,360,0
467480,20130131,2013,1,31,17.8,25.8,11.7,1.4,350,4.4,350,8.2,360,0
467480,20130201,2013,2,1,19.8,26.9,12.8,1.9,10,4.9,360,7.9,360,0
467480,20130202,2013,2,2,20.4,25.1,16.9,1.7,360,4.6,10,7.1,360,0
467480,20130203,2013,2,3,19.3,25.5,17.7,1.7,360,4.5,360,8,310,2.5
467480,20130204,2013,2,4,23.3,28.4,17.8,1.3,320,4,330,7.2,330,0
467480,20130205,2013,2,5,22.2,26,19.2,2.4,360,5.1,10,8.9,340,0
467480,20130206,2013,2,6,21.2,26,18.1,1.5,310,3.7,320,7.3,320,0
467480,20130207,2013,2,7,19.7,24.7,17,2.7,360,6.1,360,10.1,10,0
467480,20130208,2013,2,8,17.4,22.4,13.9,3.5,10,5.9,10,10.2,340,1
467480,20130209,2013,2,9,16.2,21.8,13.2,3,360,5.3,360,9,360,0
467480,20130210,2013,2,10,16.2,20.3,14.3,2.4,10,4,10,7.5,360,0
467480,20130211,2013,2,11,17.4,22,15.2,2.6,360,4.1,360,6.8,20,0
467480,20130212,2013,2,12,18.6,24,16,2.7,360,4.8,10,8.3,360,0
467480,20130213,2013,2,13,18.1,23,14.7,2.9,360,4.6,360,7.7,320,0
467480,20130214,2013,2,14,20.1,24.9,16.6,2,360,3.9,360,8,350,0
467480,20130215,2013,2,15,20.8,26.3,15.5,2.6,360,5.5,360,9.3,360,0
467480,20130216,2013,2,16,18.7,24.2,15.3,2.4,10,5.1,360,7.4,360,0
467480,20130217,2013,2,17,20.1,26.6,17,1.7,360,3.3,240,5.3,320,0
467480,20130218,2013,2,18,23.3,29.3,17.8,1.1,260,3.7,250,6.4,250,0
467480,20130219,2013,2,19,20.1,24.7,14.5,3,360,5.9,360,11.1,360,0
467480,20130220,2013,2,20,17.1,22.4,14.3,3.4,360,5.6,360,9.6,340,0
467480,20130221,2013,2,21,17.4,22,14.7,3,360,5.5,360,9,360,0
467480,20130222,2013,2,22,17.5,23,14.6,3.9,360,6.8,360,11,360,0
467480,20130223,2013,2,23,17.9,23.7,15.3,2.5,10,5.2,360,8.9,10,0
467480,20130224,2013,2,24,17.9,23.2,14.5,1.6,320,4.3,240,6.9,250,0
467480,20130225,2013,2,25,19.1,25.2,15.3,1.7,350,3.3,360,5.9,320,0
467480,20130226,2013,2,26,20.9,25.8,16.8,1.1,360,3.4,360,5.4,330,NA
467480,20130227,2013,2,27,21.8,28.9,17.7,2.2,350,5.5,360,9.8,340,0
467480,20130228,2013,2,28,19.5,23.2,17.1,1.7,10,3.4,70,5.9,310,0
467480,20130301,2013,3,1,23.3,30.2,17.8,1.6,270,4.5,280,9.7,280,0
467480,20130302,2013,3,2,15.4,20.3,13.4,3.6,360,4.9,360,8.3,10,NA
467480,20130303,2013,3,3,13.1,14.8,12.4,3,360,4.6,360,7.4,360,NA
467480,20130304,2013,3,4,16.2,21.9,12.3,1.7,360,2.9,360,5.2,320,0
467480,20130305,2013,3,5,18.4,24.1,13.2,1.7,270,5,240,7.6,250,0
467480,20130306,2013,3,6,18.5,25.2,13,1.7,240,5.7,250,9.1,270,0
467480,20130307,2013,3,7,18.5,26.1,11.6,1.5,50,3.7,330,7.4,260,0
467480,20130308,2013,3,8,19.7,27.6,12.6,1.5,60,3.7,240,6.8,280,0
467480,20130309,2013,3,9,21.2,27.4,15.5,1.5,280,3.3,280,6.3,270,0
467480,20130310,2013,3,10,22.3,28.9,16.4,2,350,5.1,360,9,350,0
467480,20130311,2013,3,11,20.4,25.9,17.1,2.4,350,4.8,360,8.6,360,0
467480,20130312,2013,3,12,21.5,28.3,16.2,1.3,310,4,20,6.1,330,0
467480,20130313,2013,3,13,23.5,29.4,19.1,1.7,350,5.1,350,8.5,350,NA
467480,20130314,2013,3,14,18.4,22.4,16.3,2.7,350,5.6,360,9.6,360,0
467480,20130315,2013,3,15,18.9,22.8,16.5,1.9,350,5.2,360,8.3,360,0
467480,20130316,2013,3,16,20.4,26.4,15.2,1.5,10,3.9,330,8.1,330,0
467480,20130317,2013,3,17,22.1,29.2,16.4,1.3,270,5,260,8.2,250,0
467480,20130318,2013,3,18,23.9,27.7,20.9,1.9,240,4.5,250,7.1,280,28
467480,20130319,2013,3,19,24.4,28.7,20.7,2.6,240,6.1,240,9,270,0
467480,20130320,2013,3,20,24.8,29,22.2,2.1,230,6,240,8.4,220,0
467480,20130321,2013,3,21,20.6,23.9,18.8,1.9,10,4.8,80,6.4,90,3
467480,20130322,2013,3,22,23.3,30,18.2,1.2,280,2.9,280,5.6,280,0
467480,20130323,2013,3,23,24.8,31.2,20.3,1.1,320,4.1,320,7.8,340,0
467480,20130324,2013,3,24,23.7,26.4,21.2,1.4,320,3.6,310,7.5,310,0.5
467480,20130325,2013,3,25,21.7,26.8,18.4,2.2,320,4.5,360,8.2,340,0
467480,20130326,2013,3,26,21.1,24.9,17.6,2.4,360,6.7,10,10.9,360,0.4
467480,20130327,2013,3,27,22.3,26.9,18.6,2.7,360,5.8,130,9.5,130,8.5
467480,20130328,2013,3,28,22.6,28.3,18.5,1.8,300,5.3,40,11.3,320,0.5
467480,20130329,2013,3,29,22.2,26.7,18.7,2.4,350,5.3,100,8.2,90,0.5
467480,20130330,2013,3,30,21.7,27.1,17.5,2,310,3.6,360,6.2,10,NA
467480,20130331,2013,3,31,21.7,25.7,19.6,2.6,360,5.7,10,9.5,10,1
467480,20130401,2013,4,1,21.7,26.6,19.1,1.6,360,4.8,30,7.5,30,0.5
467480,20130402,2013,4,2,23.3,28.1,19.6,2.1,350,4.6,350,8.8,360,NA
467480,20130403,2013,4,3,21.6,26.6,18.4,1.8,360,4.6,10,8.8,350,21.5
467480,20130404,2013,4,4,22.1,26.4,19.8,2.1,10,5.6,360,9.9,310,7.5
467480,20130405,2013,4,5,23.3,27.1,21.1,1.6,70,6,230,11.4,220,88.4
467480,20130406,2013,4,6,21,24.7,16.2,2.8,360,6,10,10.3,360,6
467480,20130407,2013,4,7,17.9,22.5,14.5,2,10,5.1,10,8.9,20,0
467480,20130408,2013,4,8,20.6,25.9,15.8,1.3,360,3.5,360,5.8,310,0
467480,20130409,2013,4,9,21,26.5,19.1,2.2,360,5.2,360,9.4,30,6.5
467480,20130410,2013,4,10,19.1,21.6,17.2,2.3,10,4.5,10,7.6,350,0.5
467480,20130411,2013,4,11,19.2,22.2,17.2,1.4,360,3.8,360,5.7,360,NA
467480,20130412,2013,4,12,18.1,20.7,16.9,1.7,350,3.8,360,5.7,360,1.5
467480,20130413,2013,4,13,20.5,22.9,17.9,0.9,170,2.7,250,4.3,240,NA
467480,20130414,2013,4,14,20,22.3,17.4,1.5,10,4.7,360,8.1,360,1.5
467480,20130415,2013,4,15,22.8,28,17.1,1,330,2.9,290,5.5,270,0
467480,20130416,2013,4,16,24.5,28.9,20,1.7,240,5,250,7.4,250,0
467480,20130417,2013,4,17,25.6,28.4,22.7,1.2,200,3.8,240,4.9,240,0
467480,20130418,2013,4,18,25.8,29.9,22.9,1.7,250,4.5,260,6.5,260,1
467480,20130419,2013,4,19,24.2,27.1,22.2,0.8,310,2.5,360,4.5,320,1
467480,20130420,2013,4,20,24.6,30.4,21.4,1,310,3.5,90,5.9,240,4.5
467480,20130421,2013,4,21,20.1,23.9,17.9,2.3,360,4,360,7.3,360,0.2
467480,20130422,2013,4,22,21.1,25.2,16.7,1.4,10,3.8,320,7,320,0
467480,20130423,2013,4,23,25,30.2,20.8,1.7,280,5.5,240,8.1,240,0
467480,20130424,2013,4,24,26.3,30.8,22.9,2.1,260,5.3,240,9.1,230,0
467480,20130425,2013,4,25,23.8,29.7,21.5,1.9,360,4.8,320,10.3,340,4.9
467480,20130426,2013,4,26,23.7,27.8,21.4,1.8,190,4.7,190,9.1,200,0.5
467480,20130427,2013,4,27,21.4,22.7,19.3,1.1,190,3.2,190,6,190,15
467480,20130428,2013,4,28,23.8,28.9,20.5,1.6,10,4.6,10,7.1,10,0.4
467480,20130429,2013,4,29,25,30.4,19.6,1,330,3.2,320,6.2,330,0
467480,20130430,2013,4,30,26.8,32,21.2,3.2,250,7.7,250,12.5,270,0
467480,20130501,2013,5,1,22.8,26.5,19.2,2,300,5,240,10.9,260,60.5
467480,20130502,2013,5,2,22.1,24.2,19.5,1.2,190,3.8,230,7,240,8
467480,20130503,2013,5,3,21.8,23.7,21.1,1.5,360,4.2,10,7,20,2.4
467480,20130504,2013,5,4,23.9,28.2,19.9,1.1,310,2.5,290,5.3,270,0
467480,20130505,2013,5,5,25.3,29.8,21.8,1.5,20,4,350,7.5,360,NA
467480,20130506,2013,5,6,25.3,29.3,22.9,1.3,270,4.2,270,6.9,280,0
467480,20130507,2013,5,7,25.3,30.2,23,1.1,290,3.4,320,7.5,330,NA
467480,20130508,2013,5,8,25.6,29.8,23.2,0.9,280,3.4,280,6.7,280,0
467480,20130509,2013,5,9,26.5,32,23.4,0.9,320,3.1,310,6.5,320,0
467480,20130510,2013,5,10,28.1,33.1,23.6,3.1,250,7.7,250,11.9,260,NA
467480,20130511,2013,5,11,27.3,30.6,25,2.4,250,6.3,240,9.3,250,10
467480,20130512,2013,5,12,25.6,28.2,24.3,1.5,240,5.2,230,8.1,230,10
467480,20130513,2013,5,13,25.3,29.5,23.1,1.1,70,3.8,260,6.4,250,19.6
467480,20130514,2013,5,14,26.2,31,22.1,1.2,50,4.4,90,8.8,90,NA
467480,20130515,2013,5,15,28,33.4,22.8,3.1,240,8.2,240,12.5,240,0
467480,20130516,2013,5,16,27.4,30.3,25.1,2.1,210,4.6,200,9.5,220,13
467480,20130517,2013,5,17,27.4,30.1,24,2.2,180,5.2,220,9.4,200,55.5
467480,20130518,2013,5,18,28.1,31.2,25,2.6,200,6.1,210,11.5,220,NA
467480,20130519,2013,5,19,26.2,28.7,24.4,2.4,150,6.3,240,11.9,260,41
467480,20130520,2013,5,20,26.6,31.9,24.3,2.3,180,7.6,220,14.6,230,50.6
467480,20130521,2013,5,21,26.2,30.7,24,2.1,160,7.3,230,12.7,220,97.5
467480,20130522,2013,5,22,27.3,32.3,24.6,2.6,200,8.8,220,17.8,230,2.5
467480,20130523,2013,5,23,26.7,31,24.8,1.8,240,4.3,250,6.7,240,4
467480,20130524,2013,5,24,27.1,32.4,23.8,1.3,350,3.8,320,8.3,330,0
467480,20130525,2013,5,25,27.6,31.8,24.9,1.8,280,4,280,8.4,280,0
467480,20130526,2013,5,26,27.8,32.2,24.1,1.8,200,5.8,250,8.2,240,2.1
467480,20130527,2013,5,27,29.1,33.7,24.8,3.3,240,6.5,250,10.3,250,0
467480,20130528,2013,5,28,29.3,32.4,26.7,2.5,240,5.6,240,9.2,250,0
467480,20130529,2013,5,29,29.5,33.7,25.1,2.1,260,4.9,250,8.3,250,0
467480,20130530,2013,5,30,28.8,33.7,24.3,2.1,240,5.8,240,9.5,240,0
467480,20130531,2013,5,31,29,34.4,24,1.7,290,4,280,8.1,280,0
467480,20130601,2013,6,1,29.1,33.2,24.6,2.7,230,5.7,250,9.4,250,0
467480,20130602,2013,6,2,28.7,33.4,23.5,2.8,230,6.3,250,10.2,240,0
467480,20130603,2013,6,3,28.7,33.4,24.3,1.3,280,3.2,250,6,270,0
467480,20130604,2013,6,4,27.5,33.3,24.4,1.2,80,5.8,190,21,210,14.5
467480,20130605,2013,6,5,26.8,30.8,23.9,1.4,360,5.1,360,8.1,360,NA
467480,20130606,2013,6,6,28.2,33,24,1,340,3.5,320,7.8,310,0
467480,20130607,2013,6,7,28.8,34.3,23.4,1.9,240,5.4,250,9,270,0
467480,20130608,2013,6,8,29.9,34,24.7,3,240,7.8,240,11.9,240,0
467480,20130609,2013,6,9,29.9,33.6,26.6,2.7,240,6.2,250,9.1,250,0
467480,20130610,2013,6,10,29.2,31.9,27.3,1.8,250,3.5,240,7.8,270,0.5
467480,20130611,2013,6,11,28.4,34.6,24.7,2,250,7.1,250,10.7,240,0.5
467480,20130612,2013,6,12,27.3,33.6,24.7,1.6,40,7.4,250,13.4,240,1
467480,20130613,2013,6,13,27.2,31.9,24.9,2.4,360,5.4,360,8.8,360,2
467480,20130614,2013,6,14,27.5,33.2,25.3,1.2,20,4.4,20,7.6,250,28.7
467480,20130615,2013,6,15,28,32.1,24.9,1.2,10,3.4,360,5.3,10,1
467480,20130616,2013,6,16,28.3,31.5,24.4,1.3,260,3.9,250,6.1,250,0
467480,20130617,2013,6,17,28.6,33,24.4,1.1,360,3.9,360,7,320,0
467480,20130618,2013,6,18,29.6,34.4,25.4,1.6,290,4.3,260,7.6,280,0
467480,20130619,2013,6,19,29.1,33.6,24.3,1.5,280,3.7,270,6.7,270,0
467480,20130620,2013,6,20,29.1,33.1,24.3,1.7,250,4.6,250,7.1,230,0
467480,20130621,2013,6,21,29.3,34.2,26,1.2,10,4.3,10,6.2,160,0
467480,20130622,2013,6,22,29.7,33.6,26.5,1.6,10,3.8,360,6.2,360,NA
467480,20130623,2013,6,23,30.1,35.3,25.3,3.8,200,8.6,220,14.8,210,NA
467480,20130624,2013,6,24,27.1,33.2,23.9,2.9,200,11.5,240,19.1,220,27
467480,20130625,2013,6,25,28,30.8,24.7,2.3,200,5.3,200,10.3,220,6.5
467480,20130626,2013,6,26,30.2,34.7,27.1,3.6,200,7.3,250,12.4,250,0
467480,20130627,2013,6,27,30,33.7,27.3,3.6,240,7.1,250,10.8,240,0
467480,20130628,2013,6,28,29.9,34.3,26.6,3,240,6.3,250,10,240,0
467480,20130629,2013,6,29,29.6,33.9,24.3,2.4,250,5.3,260,8.8,250,0
467480,20130630,2013,6,30,29.4,34.2,25.6,1.6,290,4.2,280,9.6,280,0
467480,20130701,2013,7,1,28.3,36.2,24.9,1.5,70,7.2,360,15,20,54.5
467480,20130702,2013,7,2,28.2,35,25,1.9,60,7.4,260,10.6,280,3
467480,20130703,2013,7,3,28.3,33.7,24.4,2.1,50,5.5,250,9,270,4
467480,20130704,2013,7,4,29.4,34.5,23.9,2.3,60,6.6,250,9.8,250,0
467480,20130705,2013,7,5,29.7,34.8,25.6,3.1,210,7.7,240,13,270,NA
467480,20130706,2013,7,6,29.2,34.6,24.6,2.5,150,8.3,250,13.5,250,0.1
467480,20130707,2013,7,7,28.8,34.6,24.4,3.1,240,8.1,250,12.4,250,1.5
467480,20130708,2013,7,8,27.4,34.5,22.6,2.4,50,9.3,90,17.9,130,16.5
467480,20130709,2013,7,9,26.8,33.4,23.4,1.8,60,6.7,200,16.9,220,1.5
467480,20130710,2013,7,10,26.9,33.6,22.3,2,360,8.4,50,12.6,40,2
467480,20130711,2013,7,11,28.5,33.1,23.8,2.3,360,5.1,360,9.6,350,0
467480,20130712,2013,7,12,28.3,32.5,24.7,3.2,360,8.6,360,16.5,340,0.2
467480,20130713,2013,7,13,27.6,29.3,25.2,6,180,12.3,230,22.5,240,129
467480,20130714,2013,7,14,28.3,32.5,25.9,3.5,200,7.5,190,13.7,180,NA
467480,20130715,2013,7,15,28,33.8,24.4,1.8,20,7.7,80,10.9,60,3.5
467480,20130716,2013,7,16,28.5,32.4,24.8,2.4,10,4.8,10,9.7,10,0
467480,20130717,2013,7,17,28,33.7,25.1,1.6,10,6.3,50,9.6,50,3.5
467480,20130718,2013,7,18,28.3,31.8,25.3,1.4,10,4.6,240,6.7,250,0.5
467480,20130719,2013,7,19,27.7,32.5,25.5,1.7,60,7.2,150,15.7,200,10
467480,20130720,2013,7,20,28.5,32.1,24.9,1.3,320,3.2,320,6.1,320,0
467480,20130721,2013,7,21,29.1,33.3,26.1,1.6,10,3.5,10,6.5,320,0
467480,20130722,2013,7,22,29.5,34.5,25.7,1.4,320,3.6,350,6.8,320,0
467480,20130723,2013,7,23,28.8,35.2,25.8,1.7,360,4.7,70,8,70,4
467480,20130724,2013,7,24,28.1,34.8,24.6,2.1,70,9,260,13.9,250,62.4
467480,20130725,2013,7,25,28,32.8,25,2.5,150,6,240,9.7,190,13.5
467480,20130726,2013,7,26,28,32.9,24.7,2.4,70,7,240,10.4,250,7
467480,20130727,2013,7,27,29.1,34.3,24.8,2.2,240,5.3,250,8.3,270,NA
467480,20130728,2013,7,28,28.8,34.3,24.8,1.8,140,4.7,130,8.4,120,NA
467480,20130729,2013,7,29,29.4,34.3,24.8,1.6,280,4,270,7.2,270,0
467480,20130730,2013,7,30,28.1,34.3,24,1.6,50,7.3,250,11.1,260,18.5
467480,20130731,2013,7,31,27.3,34.1,24.1,2,10,6.3,120,11.4,110,1.5
