"station","YMD","Y","M","D","tavg","tmax","tmin","AvgWS","AvgWD","MaxAvgWS","MaxAvgWD","MaxGutWS","MaxGutWD","prec"
467650,20130101,2013,1,1,10.9,14.4,7.6,0.7,10,2.5,90,4.5,80,0
467650,20130102,2013,1,2,14.6,19.1,11.8,0.9,70,2.8,20,8.8,100,0
467650,20130103,2013,1,3,15,20.4,13.2,0.7,80,2.8,200,5.6,250,2
467650,20130104,2013,1,4,14.4,19.4,12.1,0.6,100,2.3,250,4.3,170,0
467650,20130105,2013,1,5,15.8,21.4,12.2,0.5,90,2,130,4,360,0
467650,20130106,2013,1,6,16.4,22.2,12.7,0.7,330,3,150,7.7,100,0
467650,20130107,2013,1,7,17.9,24,14.7,0.5,140,2.1,140,3.5,260,0
467650,20130108,2013,1,8,15,17,13.7,0.4,270,2.8,150,6.8,200,2.5
467650,20130109,2013,1,9,13.2,15.5,10.9,0.9,150,3.4,150,6.8,280,6.5
467650,20130110,2013,1,10,12.8,16.2,11.1,0.9,130,4.2,160,6,130,1
467650,20130111,2013,1,11,14.2,18.8,10.9,1.2,160,6.1,340,13.6,200,1
467650,20130112,2013,1,12,16.2,22.1,12.4,1.3,150,5.3,350,9.9,360,0.5
467650,20130113,2013,1,13,13.4,17,10.3,1,130,4,160,7.9,320,6.5
467650,20130114,2013,1,14,12.2,17.7,7.8,1.2,190,4,170,5.6,160,0
467650,20130115,2013,1,15,12.3,19.4,8.5,0.8,270,2.9,360,5.8,240,0
467650,20130116,2013,1,16,12.6,18.6,8.4,0.7,170,3.1,170,4.6,260,0
467650,20130117,2013,1,17,12.5,18.5,9.3,1.2,290,3.4,150,8.7,10,0
467650,20130118,2013,1,18,11.1,15.6,8.5,0.6,330,3.1,170,8.9,150,0
467650,20130119,2013,1,19,11.9,18.5,7.9,0.6,80,3.2,170,5.4,60,0
467650,20130120,2013,1,20,15,21.8,9.9,0.9,310,3.9,360,5,340,0
