"station","Y","stationName","Z","wgsX","wgsY","TM2X","TM2Y","averageT_Diff","averageT_value","maxT_Diff","maxT_value","Precip_Diff","Precip_value"
466880,2013,"板橋",9.7,121.442,24.9976,294616.64,2765584.48,NA,23.1734197388633,NA,29.2032258064516,NA,2488
466880,2014,"板橋",9.7,121.442,24.9976,294616.64,2765584.48,0.0156714029697902,23.1890911418331,0.974193548387095,30.1774193548387,-118.8,2369.2
466880,2015,"板橋",9.7,121.442,24.9976,294616.64,2765584.48,0.391226318484382,23.5803174603175,-0.424086021505374,29.7533333333333,-237,2132.2
466880,2016,"板橋",9.7,121.442,24.9976,294616.64,2765584.48,0.0864360312163441,23.6667534915338,0.120860215053764,29.8741935483871,708.8,2841
466880,2017,"板橋",9.7,121.442,24.9976,294616.64,2765584.48,-0.0483177516464508,23.6184357398874,0.812903225806451,30.6870967741935,-586.9,2254.1
466910,2013,"鞍部",825.8,121.5297,25.1826,303389.12,2786107.95,NA,17.218938172043,NA,24.0677419354839,NA,5205.5
466910,2014,"鞍部",825.8,121.5297,25.1826,303389.12,2786107.95,-0.0962928827444962,17.1226452892985,-0.161290322580644,23.9064516129032,-1317.8,3887.7
466910,2015,"鞍部",825.8,121.5297,25.1826,303389.12,2786107.95,0.474999359959039,17.5976446492576,-0.226451612903226,23.68,-387.6,3500.1
466910,2016,"鞍部",825.8,121.5297,25.1826,303389.12,2786107.95,0.18357028091177,17.7812149301693,0.184516129032257,23.8645161290323,1256.4,4756.5
466910,2017,"鞍部",825.8,121.5297,25.1826,303389.12,2786107.95,-0.335196624997792,17.4460183051715,0.154838709677421,24.0193548387097,618.6,5375.1
466920,2013,"臺北",6.3,121.5149,25.0377,301958.59,2770052.12,NA,23.3704153865847,NA,29.6096774193548,NA,2541.4
466920,2014,"臺北",6.3,121.5149,25.0377,301958.59,2770052.12,0.111539938556067,23.4819553251408,0.919354838709676,30.5290322580645,-394.1,2147.3
466920,2015,"臺北",6.3,121.5149,25.0377,301958.59,2770052.12,0.300968381976446,23.7829237071173,-0.505698924731181,30.0233333333333,371.9,2519.2
466920,2016,"臺北",6.3,121.5149,25.0377,301958.59,2770052.12,0.190064180659284,23.9729878877765,0.254086021505376,30.2774193548387,-87.5,2431.7
466920,2017,"臺北",6.3,121.5149,25.0377,301958.59,2770052.12,-0.104573909281918,23.8684139784946,0.870967741935484,31.1483870967742,-91.9999999999995,2339.7
466990,2013,"花蓮",16,121.6133,23.9751,312410.94,2652401.28,NA,23.5187711213518,NA,28.3483870967742,NA,1970.9
466990,2014,"花蓮",16,121.6133,23.9751,312410.94,2652401.28,-0.00830389144905297,23.5104672299027,1.1741935483871,29.5225806451613,-744.3,1226.6
466990,2015,"花蓮",16,121.6133,23.9751,312410.94,2652401.28,0.416863159242194,23.9273303891449,-0.43225806451613,29.0903225806452,558,1784.6
466990,2016,"花蓮",16,121.6133,23.9751,312410.94,2652401.28,0.232119926020093,24.159450315165,0.0838709677419374,29.1741935483871,1324.6,3109.2
466990,2017,"花蓮",16,121.6133,23.9751,312410.94,2652401.28,-0.0731676730759077,24.0862826420891,0.270967741935483,29.4451612903226,-1161,1948.2
467440,2013,"高雄",2.3,120.3157,22.566,179627.41,2496387.63,NA,25.5346089349718,NA,29.8266666666667,NA,1688.2
467440,2014,"高雄",2.3,120.3157,22.566,179627.41,2496387.63,0.0368894009216589,25.5714983358935,0.508817204301074,30.3354838709677,253.8,1942
467440,2015,"高雄",2.3,120.3157,22.566,179627.41,2496387.63,0.506570660522272,26.0780689964158,0.234516129032258,30.57,-598,1344
467440,2016,"高雄",2.3,120.3157,22.566,179627.41,2496387.63,-0.142810375726114,25.9352586206897,-0.357096774193547,30.2129032258065,1759.5,3103.5
467440,2017,"高雄",2.3,120.3157,22.566,179627.41,2496387.63,0.346096346028215,26.2813549667179,0.235483870967741,30.4483870967742,-1979,1124.5
